name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,characteristics_age_of_molting,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
Freshwater Jellyfish,North-America,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbyi,Zooplankton,Unknown,Colony,Millions,None,Its resistance to drought,Peach blossom jellyfish,days to months,Unknown,Omnivore,Unknown,Unknown,freshwater jellyfishh,1.0,Unknown,Unknown,Unknown,WhiteGreen,Unknown,4.6 mph,1-2 years,0.11 to 0.18 ounces,0.196 to 1 inch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,1.4
Freshwater Jellyfish,South-America,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbyi,Zooplankton,Unknown,Colony,Millions,None,Its resistance to drought,Peach blossom jellyfish,days to months,Unknown,Omnivore,Unknown,Unknown,freshwater jellyfishh,1.0,Unknown,Unknown,Unknown,WhiteGreen,Unknown,4.6 mph,1-2 years,0.11 to 0.18 ounces,0.196 to 1 inch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,1.4
Frilled Shark,LeastConcern,Animalia,Chordata,Chondrichthyes,Hexanchiformes,Chlamydoselachidae,Chlamydoselachus,Chlamydoselachus anguineus,"Squid, smaller sharks, bony fish",Unknown,Solitary,Unknown,Unknown, Long and slender eel-like bod,"Frill-Gilled Shark, Scaffold Shark, Silk Shark, Greenland Shark, Fringe Shark, Lizard Shark",Possibly as long as 42 months,Deep sea,Omnivore,Unknown,Unknown,Frilled Shark,2.0,Deep sea,Unknown,Unknown,GreyDark Brown,Scales,Unknown,Estimated to be about 25 years,Unknown,3.2 to 3.6 feet on average (males); 4.4 to 4.9 feet on average (females); maximum length of 6.4 feet,Unknown,Unknown,Unknown,Other shark species,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,"Squid, smaller sharks, bony fish",Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,378
Frogfish,Ocean,Animalia,Chordata,Actinopterygii,Lophiformes,Antennariidae,Unknown,Unknown,"Crustaceans, other fish, including other frogfish",Unknown,Solitary,Unknown conservation status not evaluated,"Habitat destruction, pollution",Their ability to camouflage,"Anglers, anglerfish, sea mice",Two months,Semitropical and tropical seas save the Mediterranean,Carnivore,Unknown,Unknown,Frogfish,52.0,Unknown,Unknown,Unknown,Multi-colored,Scales,Unknown,As much as 20 years,At least 1.12 ounces,2 to 16 inches,Unknown,Unknown,Unknown,"Moray eels, other fish, sea birds",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,8.1,Unknown,Unknown,1,0,0,0.03,22
Gar,Central-America,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Unknown,Lepisosteidae,"Crustaceans, insects, frogs, and fish",Unknown,Solitary/Group,The gar evolved from an ancient lineage of fish!,Hunting,The long snout,Garpike,A few days,"Rivers, bayous, lakes, and estuaries",Carnivore,Unknown,Unknown,Gar,Unkown,Unknown,Can grow to more than 3m long!,Unknown,BrownGreyYellowBlueBlackGreen,Scales,Unknown,10 - 20 years,Up to 350 pounds,Up to 10 feet,Unknown,Unknown,Unknown,"Large Fish, Alligators, Humans",Fish,Unknown,Unknown,Unknown,Unknown,10.0,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Fish,Unknown,Unknown,6 - 9,Unknown,Unknown,1,0,0,78,152
Gar,North-America,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Unknown,Lepisosteidae,"Crustaceans, insects, frogs, and fish",Unknown,Solitary/Group,The gar evolved from an ancient lineage of fish!,Hunting,The long snout,Garpike,A few days,"Rivers, bayous, lakes, and estuaries",Carnivore,Unknown,Unknown,Gar,Unkown,Unknown,Can grow to more than 3m long!,Unknown,BrownGreyYellowBlueBlackGreen,Scales,Unknown,10 - 20 years,Up to 350 pounds,Up to 10 feet,Unknown,Unknown,Unknown,"Large Fish, Alligators, Humans",Fish,Unknown,Unknown,Unknown,Unknown,10.0,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Fish,Unknown,Unknown,6 - 9,Unknown,Unknown,1,0,0,78,152
Garden Eel,Ocean,Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,Unknown,Unknown,Unknown,Unknown,Colony,unknown,predators,snakelike bodies partially protruding from the sand,Unknown,Unknown,marine saltwater,Carnivore,Unknown,Unknown,garden eel,35.0,Unknown,Unknown,Unknown,BrownGreyBlackWhiteGreenOrange,Smooth,Unknown,35-40 years,Unknown,33cm-121cm (13in-47.6in),Unknown,Unknown,Unknown,"Pacific snake eel, triggerfish",fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"zooplankton, fish eggs, crustaceans",Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,77
Ghost Catfish,Asia,Animalia,Chordata,Actinopterygii,Silurormes,Siluridae,Kryptopterus,Kryptopterus vitreolus,"Larvae, worms",Unknown,School,Unknown,Unknown,Translucent body,"Glass catfish, X-ray fish",Unknown,Unknown,Carnivore,Unknown,Unknown,Ghost Catfish,Unkown,Unknown,Unknown,Unknown,Unknown,Scales,Unknown,Unknown,Less than an ounce,Unknown,Unknown,Unknown,Unknown,"Larger fish, humans",Siluriformes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6.0 - 8.0,Unknown,Unknown,1,0,0,0.028,Unknown
Ghost Crab,Ocean,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Unknown,Unknown,"Baby turtles, mole crabs and other small arthropods, mollusks, insects",Unknown,Solitary,"Hundreds of thousands, at least.","Habitat destruction, climate change, pollution",Its eyestalks,"Sand crab, the Fleet-footed One of White",Unknown,Unknown,Omnivore,Unknown,Unknown,Ghost crab,21.0,Unknown,Unknown,Unknown,YellowCreamSandy,Shell,10 mph,Three years,0.53 – 2.5 ounces,"2 to 3 inches, males larger than females",Unknown,Unknown,Unknown,Unknown,Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.04,6.25
Giant African Land Snail,Africa,Animalia,Mollusca,Gastropoda,Achatinoidea,Achatinidae,Achatina,Achatina fulica,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Humid forest areas,Herbivore,200,Solitary,Unknown,Unkown,Unknown,The biggest snail species on land!,Unknown,BrownYellowRed,Hard Outer Shell,0.002 mph,3-10 years,250-450g (8.8-15.9oz),Unknown,Unknown,Unknown,Unknown,"Wild Cats, Birds, Humans",Mollusc,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, Vegetables, Fruit, Flowers",Unknown,Unknown,Unknown,Leaves,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,1,0.35,Unknown
Giant Clam,Ocean,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Tridacna,Tridacna gigas,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Saltwater seafloors,Omnivore,Millions,Unknown,Giant Clam,100.0,Indian and Pacific Oceans,Can reach nearly 4ft in length!,Unknown,BrownYellowRedBlueGreenOrangePink,Shell,Unknown,Unknown,100-200kg (220-440lbs),Unknown,Unknown,Unknown,Unknown,"Eels, Snails, Starfish",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Algae, Phytoplantkon, Nutrients In Water",Unknown,Unknown,Unknown,Algae,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,150,Unknown
Goblin Shark,LeastConcern,Animalia,Chordata,Chondrichthyes,Lamniformes,Mitsukurinidae,Mitsukurina,Mitsukurina owstoni,"Teoeost fish, cephalopods, and crustaceans",Unknown,Unknown,Unknown,Blue Sharks,Catapulting snout,Living Fossil,Unknown,Deep Sea,Carnivore,Unknown,Unknown,Goblin Shark,1.0,Unknown,Unknown,Unknown,TanPink,Scales,15 mph,About 60 years,330 to 460 pounds,9.8 to 13.1 feet,Unknown,Unknown,Unknown,Blue Sharks,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Teoeost fish, cephalopods, and crustaceans",Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,177,349
Goldfish,Asia,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius auratus,"Insects, small crustaceans",Unknown,Gregarious,Many millions,None,The orange-gold color of domestic fish,Unknown,Unknown,"Cold freshwater rivers, canals, ditches with lots of vegetation",Omnivore,Unknown,Unknown,Fish,1.0,Unknown,Unknown,Unknown,BlackWhiteOrangeOliveGolden,Scales,0.86 mph,Up to 41 years,Up to 5 pounds,1 to 2 inches to over 16 inches,Unknown,Unknown,Unknown,"Waterbirds, turtles, larger fish",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6.0 to 8.0,Unknown,Unknown,1,0,0,1.125,3.75
Grass Carp,Asia,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,"Aquatic plants, invertebrates, insects, and organic matter",Unknown,Solitary,Unknown,Overfishing,The silvery scales,White Amur,2-3 days,"Rivers, ponds, and lakes",Omnivore,Unknown,Unknown,Grass Carp,1.0,Unknown,Unknown,Unknown,YellowWhiteSilverOlive,Scales,Unknown,Up to 20 years,Up to 99 pounds,Up to 79 inches,Unknown,Unknown,Unknown,"Birds, snakes, fish, and humans",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,7-9 pH,Unknown,Unknown,1,0,0,22.28,98
Grass Carp,Eurasia,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,"Aquatic plants, invertebrates, insects, and organic matter",Unknown,Solitary,Unknown,Overfishing,The silvery scales,White Amur,2-3 days,"Rivers, ponds, and lakes",Omnivore,Unknown,Unknown,Grass Carp,1.0,Unknown,Unknown,Unknown,YellowWhiteSilverOlive,Scales,Unknown,Up to 20 years,Up to 99 pounds,Up to 79 inches,Unknown,Unknown,Unknown,"Birds, snakes, fish, and humans",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,7-9 pH,Unknown,Unknown,1,0,0,22.28,98
Great White Shark,Ocean,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Carcharodon,Carcharodon carcharias,"Seals, Sea Lions, Dolphins",Pup,Solitary,Unknown,Hunting and habitat degredation,Unknown,"White Shark, White Pointer Shark",Unknown,"Temperate, coastal waters and open ocean",Carnivore,Unknown,Diurnal,Great White Shark,1.0,Worldwide,Can grow to more than 8 meters long!,Fish,GreyBlackWhite,Tough,15 mph,30 - 40 years,"1,110kg - 2,240kg (2,450lbs - 4,938lbs)",5.5m - 8m (18ft - 26ft),17 years,Unknown,Unknown,Unknown,Unknown,Unknown,Large pointed snout and powerful tail fin,Unknown,12 - 18 months,Unknown,Unknown,Unknown,Unknown,Unknown,From birth,9,Unknown,Unknown,Unknown,5 - 7,Unknown,Unknown,0,1,0,1675,Unknown
Greenland Shark,Ocean,Animalia,Chordata,Chondrichthyes,Squaliformes,Somniosidae,Somniosus,Somniosus microcephalus,"Smaller sharks and small whales, herring, cod and other fish, seals and squid.",Pup,Largely solitary,Several thousand,"Climate change, overfishing",Their great age.,"Gurry, eqalussuaq, grey shark, sleeper shark",Eight to 18 years,"Deep, cold, waters of the North Atlantic and the Arctic Oceans.",Carnivore,Unknown,Unknown,Greenland Shark,1.0,"Canada, Greenland, Iceland",Unknown,School or shiver,GreyBlack-Brown,Rough,-0.24 mph,250 to 500 years,2200 pounds,21 feet,150 years,Unknown,10,Humans,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Greenland shark food includes fish, marine mammals and carrion.",Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,510,640
Grey Reef Shark,Ocean,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus Amblyrhynchos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Warm waters and coral reefs,Carnivore,4,Solitary,Unknown,Unkown,Unknown,One of the most common shark species!,Unknown,GreyBlackWhite,Smooth,25 mph,22-28 years,20-30kg (44-66lbs),Unknown,Unknown,Unknown,Unknown,"Human, Larger sharks",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, Crab, Squid",Unknown,Unknown,Unknown,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,25,Unknown
Grouper,Africa,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Unknown,Epinephelinae,"Other fish, sea turtles, small sharks, crustaceans, octopuses, zooplankton",Unknown,SolitaryGroup,Unknown,"Overfishing, habitat destruction",A robust body and a huge mouth,"Hamlets, hinds, podges, lyretails",1-2 days,Tropical and subtropical seas,Carnivore,Unknown,Unknown,Grouper,160.0,Unknown,Unknown,Unknown,BrownYellowRedBlackGreen,Scales,Unknown,11-100 years,Unknown,Between 10 to 12 inches and 8.2 feet,Unknown,Unknown,Unknown,"Humans, larger groupers, sharks, barracudas",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,6.0-8.0,Unknown,Unknown,1,0,0,Unknown,27.5
Grouper,Central-America,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Unknown,Epinephelinae,"Other fish, sea turtles, small sharks, crustaceans, octopuses, zooplankton",Unknown,SolitaryGroup,Unknown,"Overfishing, habitat destruction",A robust body and a huge mouth,"Hamlets, hinds, podges, lyretails",1-2 days,Tropical and subtropical seas,Carnivore,Unknown,Unknown,Grouper,160.0,Unknown,Unknown,Unknown,BrownYellowRedBlackGreen,Scales,Unknown,11-100 years,Unknown,Between 10 to 12 inches and 8.2 feet,Unknown,Unknown,Unknown,"Humans, larger groupers, sharks, barracudas",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,6.0-8.0,Unknown,Unknown,1,0,0,Unknown,27.5
Grouper,North-America,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Unknown,Epinephelinae,"Other fish, sea turtles, small sharks, crustaceans, octopuses, zooplankton",Unknown,SolitaryGroup,Unknown,"Overfishing, habitat destruction",A robust body and a huge mouth,"Hamlets, hinds, podges, lyretails",1-2 days,Tropical and subtropical seas,Carnivore,Unknown,Unknown,Grouper,160.0,Unknown,Unknown,Unknown,BrownYellowRedBlackGreen,Scales,Unknown,11-100 years,Unknown,Between 10 to 12 inches and 8.2 feet,Unknown,Unknown,Unknown,"Humans, larger groupers, sharks, barracudas",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,6.0-8.0,Unknown,Unknown,1,0,0,Unknown,27.5
Grouper,Ocean,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Unknown,Epinephelinae,"Other fish, sea turtles, small sharks, crustaceans, octopuses, zooplankton",Unknown,SolitaryGroup,Unknown,"Overfishing, habitat destruction",A robust body and a huge mouth,"Hamlets, hinds, podges, lyretails",1-2 days,Tropical and subtropical seas,Carnivore,Unknown,Unknown,Grouper,160.0,Unknown,Unknown,Unknown,BrownYellowRedBlackGreen,Scales,Unknown,11-100 years,Unknown,Between 10 to 12 inches and 8.2 feet,Unknown,Unknown,Unknown,"Humans, larger groupers, sharks, barracudas",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,6.0-8.0,Unknown,Unknown,1,0,0,Unknown,27.5
Grouper,South-America,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Unknown,Epinephelinae,"Other fish, sea turtles, small sharks, crustaceans, octopuses, zooplankton",Unknown,SolitaryGroup,Unknown,"Overfishing, habitat destruction",A robust body and a huge mouth,"Hamlets, hinds, podges, lyretails",1-2 days,Tropical and subtropical seas,Carnivore,Unknown,Unknown,Grouper,160.0,Unknown,Unknown,Unknown,BrownYellowRedBlackGreen,Scales,Unknown,11-100 years,Unknown,Between 10 to 12 inches and 8.2 feet,Unknown,Unknown,Unknown,"Humans, larger groupers, sharks, barracudas",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,6.0-8.0,Unknown,Unknown,1,0,0,Unknown,27.5
Guppy,Central-America,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia reticulata,"Algae, plant particles, mosquito larvae",Unknown,School,Unknown,Water pollution,Unknown,"Rainbow fish, millionfish",3-4 weeks,"Streams, shallow pools near bigger bodies of water",Omnivore,Unknown,Unknown,Guppy,276.0,Unknown,Also known as the Millionfish!,Unknown,YellowRedBlueBlackWhiteGreenOrangeMulti-colored,Scales,Unknown,2 years,Less than 1 gram,0.6 - 2.4 inches,Unknown,Unknown,Unknown,"Birds, larger fish",Cyprinodontiformes,Unknown,Brightly coloured body and fins and give birth to live young,Unknown,Unknown,80.0,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Algae,Unknown,Unknown,5.0 - 7.0,Unknown,Unknown,1,0,0,0.001,3.75
Guppy,South-America,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia reticulata,"Algae, plant particles, mosquito larvae",Unknown,School,Unknown,Water pollution,Unknown,"Rainbow fish, millionfish",3-4 weeks,"Streams, shallow pools near bigger bodies of water",Omnivore,Unknown,Unknown,Guppy,276.0,Unknown,Also known as the Millionfish!,Unknown,YellowRedBlueBlackWhiteGreenOrangeMulti-colored,Scales,Unknown,2 years,Less than 1 gram,0.6 - 2.4 inches,Unknown,Unknown,Unknown,"Birds, larger fish",Cyprinodontiformes,Unknown,Brightly coloured body and fins and give birth to live young,Unknown,Unknown,80.0,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Algae,Unknown,Unknown,5.0 - 7.0,Unknown,Unknown,1,0,0,0.001,3.75
Haddock,Ocean,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Melanogrammus, Melanogrammus aeglefinus,"Worms, sea stars, urchins, sand dollars, mollusks, crustaceans, fish, and eggs",Unknown,School,Unknown,Overfishing,The black “thumbprint” on the sides of the body,Unknown,1 to 3 weeks,Unknown,Carnivore,Unknown,Unknown,Haddock,1.0,North Atlantic Ocean,Unknown,Unknown,RedBlackPurple,Scales,Unknown,10 years or more,2-40 pounds,30 cm-91 cm (1 ft-3 ft),Unknown,Unknown,Unknown,"Skates, dogfish, cods, halibuts, and seals",Ray-in fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,9.45,Unknown
Hammerhead Shark,Ocean,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Sphyrnidae,Unknown,Sphyrnidae,"crustaceans, fish, cephalopods, stingrays",Unknown,Solitary/School,Unknown,"Overfishing, shark culling",Hammer-shaped head,sphyrnids,10-12 months,"coastal, continental shelves",Carnivore,26,Herd,hammerhead shark,10.0,Unknown,Found in coastal waters around the world!,Unknown,BrownGreyWhiteGreen,Skin,20 mph,20-30 years,300lbs-1000lbs,0.9m-6.1m (3ft-20ft),Unknown,Unknown,Unknown,"Tiger Shark, Great White Shark, Killer Whale, Humans",sphyrnids,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,292,350
Hardhead Catfish,Ocean,Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae,Ariopsis,Ariopsis felis,"Algae, sea grasses, sea cucumbers, shrimp, crabs, gastropods, and fish",Unknown,School,Unknown,Habitat changes,The six long whiskers near the mouth,"Saltwater catfish, sea catfish, and tourist trout",30 days,Oceans and estuaries,Omnivore,Unknown,Unknown,Hardhead Catfish,-2.0,Unknown,Unknown,school,BrownBlueWhiteSilver,Skin,Unknown,5 – 8 years,1-12 pounds,12-27 inches,Unknown,Unknown,Unknown,Unknown,ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8,Unknown,Unknown,1,0,0,2.9,48.75
Hermit Crab,Ocean,Animalia,Arthropoda,Malacostraca,Decapoda,Paguroidea,Unknown,Paguroidea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Coastal waters,Omnivore,200,Unknown,Hermit Crab,500.0,Worldwide,There are over 500 different species!,Unknown,BrownYellowRedBlueWhiteGreenOrangePink,Shell,Unknown,Unknown,200-500g (7-18oz),Unknown,Unknown,Unknown,Unknown,"Fish, Sharks, Cuttlefish",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, Worms, Plankton",Unknown,Unknown,Unknown,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.7,Unknown
Herring,Ocean,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Unknown,"Zooplankton, phytoplankton",Unknown,School,Variable and depending on species,Overfishing,Huge schools,"Silver darlings, silver of the sea",11-40 days depending on water temperature,Temperate waters,Carnivore,Unknown,Unknown,Herring,200.0,Unknown,Unknown,Unknown,Silver,Scales,-3 mph,8-22 years depending on species and location,0.41-1.05kg (0.90-2.3lb),10.5-60cm (4.1-23.6in),Unknown,Unknown,Unknown,"Seabirds, marine mammals, predatory fish, fishermen","Vertebrate, Clupeoid",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,35
Horn Shark,Ocean,Animalia,Chordata,Chondrichthyes,Heterodontiformes,Heterodontidae,Heterodontus,Heterodontus francisci,Fish and invertebrates,Unknown,Solitary,Unknown,Accidental bycatch,The ridges along the eyes,Unknown,6-9 months,Kelp beds and rocks close to the shore,Carnivore,20,Unknown,Horn Shark,1.0,Unknown,Endemic to the Californian coast!,Unknown,BrownGreyYellowBlack,Smooth,Unknown,"12 years in captivity, perhaps 25 or even 50 years in the wild",20 pounds,70cm - 120cm (27.5in - 47in),Unknown,Unknown,Unknown,"Sharks, seals, and eagles",Shark,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Molluscs,Unknown,Unknown,7 - 8,Unknown,Unknown,1,0,0,9,85
Horseshoe Crab,Asia,Animalia,Arthropoda,Malacostraca,Xiphosurida,Limulidae,Unknown,Unknown,"Worms, algae, small invertebrates, detritus",Unknown,Largely solitary,2.3 to 4.5 million just on the Atlantic coast,"Pollution, over-harvesting, habitat destruction",Their horseshoe-shaped shell,"helmet crab, horsefoot, saucepan, king crab",Two weeks,"Shallow water off the coast, beaches",Omnivore,"90,000",Unknown,Horseshoe Crab,4.0,Worldwide,Changed little in over 500 million years!,Unknown,BrownGreyTanGreen,Shell,Unknown,Over 30 years,As much as 9 pounds in the tri-spine horseshoe crab; males of all species smaller,"As long as 31.25 inches in the female tri-spine horseshoe crab, other species are smaller",Unknown,Unknown,Unknown,"Shorebirds who eat the eggs, sea turtles, fish",Arthropod,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,2,78
