name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
Coral Snake,"['Asia', 'Central-America', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Elapidae,Various,Various,"Mainly other snakes, but also small mammals.",Hatchling,Solitary,Unknown,Human encroachment,Unknown,Unknown,Unknown,"Forests, jungles, some aquatic",Carnivore,Unknown,Nocturnal,coral snake,78.0,Unknown,Unknown,Unknown,YellowRedBlueBlackWhite,Scales,Unknown,Unknown,Unknown,"Most are 2-3 feet long, but a few species reach almost 6 feet.",Unknown,Unknown,2-7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,198.12
Rat Snakes,"['Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,various,various,"Rats, mice, birds, bird eggs, lizards",Hatchlings,Solitary,Unknown,"Vehicles on roads, human encroachment",Unknown,"Corn snake, rat snake, bush snake,",2-3 months,Dense rainforest jungles to arid deserts.,Carnivore,Unknown,Diurnalor Nocturnal Depending on Region and Season,Unknown,50.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Anywhere from 3-20 eggs,"Birds of prey, other snakes, weasels, coyotes, badgers.",Unknown,Unknown,Unknown,"Generally mellow, but some species are more aggressive.",Unknown,Unknown,Unknown,Unknown,12.0,Rats and mice,Unknown,Unknown,"Hollow logs, leaf litter",Unknown,Unknown,Unknown,Unknown,1,0,0,,198.12
Thorny Devil,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Agamidae,Moloch,Moloch horridus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Dry desert and shrub land,Omnivore,6,Solitary,Unknown,Unkown,Unknown,Found only on mainland Australia!,Unknown,BrownGreyRed,Scales,37 mph,12-20 years,70-95g (2.5-3.4oz),Unknown,Unknown,Unknown,Unknown,"Snakes, Human, Birds",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Ants, Termites",Unknown,Unknown,Unknown,Unknown,Ants,Unknown,Unknown,1,0,0,,100.584
Indian Star Tortoise,['Asia'],Animalia,Chordata,Reptilia,Testudines,Testudinidae,Geochelone,Geochelone elegans,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Dry scrub forest,Herbivore,Unknown,Solitary,Unknown,Unkown,Unknown,Popular in the exotic pet trade!,Unknown,BrownYellowBlackTanGreen,Scales,0.3 mph,30 - 80 years,1.3kg - 2.2kg (3lbs - 4.9lbs),20cm - 30cm (8in - 12in),Unknown,Unknown,Unknown,"Birds, Reptiles, Humans",Reptile,Unknown,"High domed, star patterned protective shell",Unknown,Unknown,Unknown,Unknown,Unknown,7.0,"Grasses, Fruits, Flowers",Unknown,Unknown,Unknown,Unknown,Grasses,Unknown,Unknown,1,0,0,1.0,8.89
Rubber Boa,[],Animalia,Chordata,Reptilia,Squamata,Boidae,Charina,Charina bottae," Lizards, rodents",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,1-5 babies,Unknown,Rubber boa,Unkown,Unknown,Unknown,Unknown,BrownYellow,Unknown,Unknown,12-25 years,Unknown,14-33 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,99.06
Twig Snake,['Africa'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Thelotornis,Thelotornis capensis,"Lizards, birds, frogs",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,Twig snake,Unkown,Unknown,Unknown,Unknown,BrownGrey,Scales,Unknown,8-12 years,Unknown,48 inches,Unknown,Unknown,4 -18 eggs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Mole Snake,['Africa'],Animalia,Chordata,Reptilia,Squamata,Pseudaspididae,Pseudaspis,Pseudaspis cana,"Rodents, bird eggs",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,25-95 eggs,Unknown,Mole snake,Unkown,Unknown,Unknown,Unknown,BrownRedBlack,Unknown,Unknown,8-10 years,Unknown,6.8 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,86.36
Milk Snake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis triangulum,"Rodents, reptiles, snakes, and insects.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,milk snake,Unkown,Unknown,Unknown,Unknown,YellowRedBlack,Scales,Unknown,up to 22 years in captivity,Unknown,24-52 inches,Unknown,Unknown,6-24 eggs,Unknown,reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,86.36
Monitor Lizard,"['Africa', 'Asia', 'Oceania']",Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,River banks and coastal forests,Carnivore,10,Solitary,Unknown,Unkown,Unknown,Some species are thought to carry a weak venom!,Unknown,BrownGreyTanGreen,Scales,28 mph,8-30 years,1-166kg (2.2-366lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Rodents, Snakes, Lizards",Unknown,Unknown,Unknown,Unknown,Rodents,Unknown,Unknown,1,0,0,,22.86
Leatherback Sea Turtle,"['Africa', 'Asia', 'Central-America', 'North-America']",Animalia,Chordata,Reptilia,Testudines,Dermochelyidae,Dermochelys, Dermochelys coriacea,"jellyfish, sea squirts","eggs, hatchlings",Solitary except during mating season,"less than 50,000","Humans, pollution, habitat loss, fishing vessel",Leather-like skin,"Luth, leathery turtle, lute turtle, leatherbacks, leatherback turtle",2 months,moderate to tropical coastal ocean waters,Omnivore,100,Unknown,Leatherback Sea Turtle,Unkown,"Oceans around the United States (including Hawaii ) , Puerto Rico , Indonesia , Africa",Unknown,Ridley,GreyBlack,Leather,6 mph,up to 50 years,500 pounds to over 1 ton,7-8 feet,Unknown,Unknown,100,"Crabs, racoons",Reptile,Unknown,Leather-like skin and massive size,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Jellyfish,Salt,Unknown,Land,Unknown,Unknown,Unknown,Unknown,1,0,0,,1.0
Mexican Mole Lizard,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Bipedidae,Bipes,Bipes biporus,"Insects, larvae, lizards",Hatchling,Unknown,Unknown,Humans,Worm-like appearance,"Five-toed worm lizard, bipes",2 months,"Desert, dune, shrubland",Carnivore,Unknown,Unknown,Mexican mole lizard,1.0,Mexico,Unknown,Unknown,GreyPink,Scales,Unknown,1-2 years,3 oz,18cm-24cm,3.75 years,Unknown,1-4,"Humans, snakes",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,152.4
Leaf-Tailed Gecko,['Africa'],Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Uroplatus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Dense tropical jungle,Carnivore,Unknown,Solitary,Unknown,Unkown,Unknown,Only found on Madagascar!,Unknown,BrownBlackTanGreen,Scales,30 mph,2 - 9 years,10g - 30g (0.35oz - 1oz),10cm - 30cm (4in - 12in),Unknown,Unknown,Unknown,"Owls, Rats, Snakes",Reptile,Unknown,"Sticky toes and broad, flattened tail",Unknown,Unknown,Unknown,Unknown,Unknown,3.0,"Spiders, Insects, Worms",Unknown,Unknown,Unknown,Unknown,Spiders,Unknown,Unknown,1,0,0,,
Eastern Diamondback Rattlesnake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,C. adamanteus,"rats, mice, rabbits, squirrels, and sometimes birds.",Neonate,Solitary,Unknown,Unknown,Their rattle.,"Diamond-backed rattlesnake, eastern diamondback, diamond rattlesnake, diamond-back rattlesnake, common rattlesnake, diamond-back, diamond-patch rattler, eastern diamond-back, eastern diamond rattlesnake, Florida diamond-back (rattlesnake), Florida rattlesnake, lozenge-spotted rattlesnake, rattler, rattlesnake, southeastern diamond-backed rattlesnake, southeastern diamond-backed rattler, southern woodland rattler, water rattle, water rattlesnake, and diamondback rattlesnake.",6-7 months,Unknown,Carnivore,Unknown,CrepuscularDiurnal/NocturnalNocturnal/Crepuscularor Nocturnal Depending on Region and Season,Eastern diamondback,Unkown,Unknown,Unknown,Unknown,BrownGreyBlackWhiteTan,Scales,Unknown,15-20+ years,Unknown,2-8 feet,Unknown,Unknown,7-21,"Indigo snakes, king snakes, hawks, coyotes, weasels.",Unknown,Unknown,Unknown,"A little prickly, but reclusive.",Unknown,Unknown,Unknown,Unknown,Unknown,Small mammals,Unknown,A few hours,Unknown,Unknown,Rabbits,Unknown,Unknown,1,0,0,,
Anole Lizard,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Unknown,Insects,hatchlings,Unknown,Unknown,Other reptiles,"On most species, the brightly colored dewlap on the neck of the males","American green anole, Carolina green anole, American anole, Carolina anole, North American green anole, red-throated anole, American Chameleon",Unknown,Unknown,Omnivore,Unknown,Unknown,Anole Lizard,Unkown,The Americas,Unknown,Territorial,BrownRedWhiteTanGreen,Scales,Unknown,2 - 7 years,Unknown,4 - 20 in.,18 months,Unknown,1 - 2 eggs,"Snakes , other Reptiles , Birds",Reptile,0.5 in. - 2 in.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,106.68
Turtles,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Reptilia,Testudines,Unknown,Unknown,Unknown,"Crabs, jellyfish, squid, shrimp, cuttlefish, sea squirts, sea cucumbers, sponges, seagrass, algae, worms, snails, insect larvae, aquatic insects, crustaceans, water plants, fallen fruit, frogs, snakes, fish and smaller turtles.",Hatchling,SolitaryGroup,Fewer than 10 million,Accidental capture by fishing gear,Shell,"Sea turtle, snapping turtle, Chelonia",7 weeks to 2 years,"Aquatic, muddy, swampy areas, dry land for sun basking",Omnivore,Unknown,SolitaryGroup,Turtle,334.0,"North America, South Asia",Unknown,Unknown,BrownGreyYellowRedBlueBlackWhiteTanGreenDark BrownOrangePurplePinkOliveDull OliveGrey-Brown,Tough,3 mph,30 - 200+ years,"550 - 2,000lbs",6 cm to 6 ft,2-50 years,Unknown,3-8,Humans,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,2.0,35.0
Western Diamondback Rattlesnake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,C. atrox,small mammals,neonate,Solitary,Unknown,Habitat destruction,Rattle and black/white banded tail.,"Western diamond-backed rattlesnake, adobe snake, Arizona diamond rattlesnake, coon tail, desert diamond-back, desert diamond rattlesnake, fierce rattlesnake, spitting rattlesnake, buzz tail, Texan rattlesnake, Texas diamond-back, and Texas rattler.",165 days,Unknown,Carnivore,Unknown,NocturnalDiurnalCrepuscularor Nocturnal Depending on Region and Seasonterrestrial,Diamondback Rattler,Unkown,Unknown,Unknown,Unknown,BrownFawnTan,Scales,Unknown,15-20 Years,Unknown,2-7 Feet,Unknown,Unknown,10-20,Unknown,Unknown,Unknown,"Large, spade-shaped head and diamond-shaped markings on their back.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,152.4
Bullsnake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Pituophis,Pituophis catenifer sayi,"Small mammals, birds, bird’s eggs, frogs, lizards",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Bullsnake,Unkown,Unknown,Unknown,Unknown,BrownYellowRedBlackCreamBeige,Scales,Unknown,Lifespan of about 12 years in the wild and up to 30 in captivity,Unknown,4 to as long as 8 feet,Unknown,Unknown,Two to 24,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,152.4
Lizard,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Lacertidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Warm forests and deserts worldwide,Omnivore,18,Solitary,Unknown,Unkown,Unknown,"There are around 5,000 different species!",Unknown,BrownYellowBlackTanGreen,Scales,15 mph,1-30 years,0.01-300kg (0.02-661lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Insects, Birds, Small rodents",Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,1,0,0,,
Armadillo Lizard,['Africa'],Animalia,Chordata,Reptilia,Squamata,Cordylidae,Ouroborus,Ouroborus cataphractus,Mainly desert insects,Baby,Group,Unknown,Black market poaching,"Scaled, spiky shell","Armadillo girdled lizard, Golden-armadillo lizard, dragon armadillo lizard",Two months,South African deserts,Carnivore,Unknown,Unknown,Armadillo lizard,Unkown,Desert,Unknown,Squamata,YellowBlackDark BrownLight-Brown,Scales,-1 mph,"In captivity, 25 years",2.5–3.5 oz,Up to 3.75 inches,3 to 4 years,Unknown,1-2,Birds of prey,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Desert insects, scorpions, plants",Unknown,Unknown,1,0,0,,
Aldabra Giant Tortoise,['Ocean'],Animalia,Chordata,Reptilia,Testudines,Testudinidae,Geochelone,Geochelone gigantea,"Grasses, Leaves, Flowers",Hatchling,Herd,"200,000",Habitat loss,"Large, high-domed shell",Giant Tortoise,Unknown,Grasslands and swamps,Herbivore,Unknown,Diurnal,Aldabra Giant Tortoise,1.0,Aldabra atoll in the Indian Ocean,One got to be 255 years old!,Reptile,BrownBlackTan,Scales,0.3 mph,80 - 255 years,150kg - 250kg (330lbs - 550lbs),90cm - 120cm (3ft - 4ft),20 - 30 years,Unknown,Unknown,"Giant Crab, Humans, Cats",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8 months,Unknown,15.0,Unknown,Unknown,3 - 6 months,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Golden Lancehead,['South-America'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,B. insularis,"Mostly birds, but juveniles may also eat lizards and other small prey.",Neonate,Solitary,"2,000-4,000","Poachers, habitat destruction",Gold color and spearhead-shaped head,Unknown,Unknown,"subtropical forests, grasslands",Carnivore,Unknown,Nocturnal,Unknown,Unkown,Unknown,Unknown,Unknown,YellowTanCream,Unknown,Unknown,Unknown,Unknown,2-4 feet,Unknown,Unknown,Unknown,A few predatory birds on the island may prey on them.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tyrant flycatcher,Unknown,Unknown,Unknown,Unknown,Tyrant flycatcher,Unknown,Unknown,1,0,0,,
