name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features
Gerbil,"['Africa', 'Asia', 'Eurasia']",Animalia,Chordata,Mammalia,Rodentia,Muridae,,,"Insects, bird nestlings, other gerbils",Pup,Flocks,"Unknown, though some species are endangered","Snakes, birds of prey, carnivores, humans",Their ability to jump. Some gerbils can jump as far as 11.5 feet.,Gerbillines,"Three to four weeks if the female is not nursing, longer if she is.","Deserts and other arid places, though some gerbils are found in pastures, woodlands, scrub forests and mountain valleys.",Omnivore,8,Solitary,"Gerbil, jird, tateril, doop",110.0," Asia, Africa and the Middle East",Originally known as the Desert Rat!,"Colony, horde",BrownGreyRedWhiteOrangePinkOlive,Fur,6.7 mph,Three to four months in the wild to eight years in captivity,0.35 to 8 ounces,"6 to 16 inches long, including the tail",10 to 16 weeks,One month,One to 13 babies,"Owls, vultures, snakes, foxes, other carnivores",Mammal,,,,,,,,,,,,,,,,,Seeds,,,,
Gibbon,['Asia'],Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobatidae,,,,,,,,,Dense forest and jungle,Omnivore,1,Troop,,,,Found in dense jungles and tropical forests!,,BrownGreyYellowBlackWhite,Hair,35 mph,25-40 years,6-9kg (13.2-19.8lbs),,,,,"Leopards, Snakes, Birds Of Prey",Mammal,,,,,,,,,,,"Fruit, Eggs, Insects",,,,,,Fruit,,,,
Hellbender,['North-America'],Animalia,Chordata,Amphibia,Urodela,Cryptobranchidae,Cryptobranchus,Cryptobranchus alleganiensis,"Crayfish, fish, tadpoles, insects, smaller salamanders including their own young","Larvae, hatchling",Solitary,Declining. At one point only 590 were left in the Ozarks. Conservation status near threatened.,Pollution,The frills along its body,"Hellbender salamander, lasagna lizard, Allegheny alligator, mud dog, mud devil, devil dog, water dog, leverian water newt, snot otter",45 to 80 days,"Clean, cold freshwater streams",Carnivore,,,Hellbender,1.0,Appalachian Mountains from New York to Alabama,,Solitary,BrownOrangeTawny,Skin,,Hellbender,3.3 to 5.5 pounds,12 to 30 inches,"6 years for male, 6 o 8 years for female",,150 to 450,"Large fish, larger conspecifics, humans",Amphibian,,,,,,,,,,,,,,,,,,,,,
Hercules Beetle,"['Central-America', 'South-America']",Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Dynastes,Dynastes hercules,,Larva or grub,Mainly solitary,"Unknown, but the beetle does not have special conservation status.",Habitat destruction and pollution,,,30 days,Rainforests of the mountains and lowlands,Herbivore,100,,Hercules Beetle,10.0,South and Central America and the Lesser Antilles,,,YellowBlackGreen,Exoskeleton,8.9 mph,"Two and a half years, in total","1.2 ounces for male, 0.57 ounces for female","Average 2.43 inches for females, 3 inches for male plus horns longer than body. There have been rumors of a male that was 7.09 inches long.",15 to 22 months,,100,"Bats, Rats, Birds",Insect,,"Hard, armoured shell and horn-like pincers",,,,,,,,,,,,,,,Decaying wood,,,,
Honey Bee,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,,,,,,,,,,Sheltered forests and meadows,Herbivore,200,,Honey Bee,8.0,Worldwide,There are only 8 recognized species!,,BrownYellowBlack,Hair,,,,,,,,,,,,,,,,,,,,"Nectar, Pollen, Honey",,,,,,Nectar,,,,
Hornbill,"['Africa', 'Asia', 'Oceania']",Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,,Bucerotidae,Fruits and insects,Chicks,Flock,Varies by species,Habitat loss,The large bill and horn,,23-96 days,"Rainforests, woodlands and savannas",Omnivore,1-7,,Hornbill,60.0,"The tropical regions of Africa, Asia and the Pacific Islands",,,GreyYellowRedBlueBlackWhiteOrange,Feathers,,40 years,13.6 lbs,63 inches,up to 6 years,,1-7,"Owls, eagles and humans",Bird,,,,,,,,,,,,,,,,,,,,,
Humboldt Penguin,"['Ocean', 'South-America']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus humboldti,,,,,,,,,Rocky Ocean Islands,Carnivore,2,Colony,,,,Found on the South American coast!,,GreyBlackWhite,Feathers,,15 - 20 years,2kg - 5kg (4.4lbs - 11lbs),,,,,"Leopard Seal, Killer Whale, Sharks",Bird,60cm - 68cm (24in - 27in),Pink base of beak and black and white markings,,,,,,,,,"Krill, Fish, Shrimp",,,,,,Krill,,,,
Humboldt Squid,['Ocean'],Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Dosidicus,Dosidicus gigas,"Fish, crustaceans, and other cephalopods",,School,Unknown,Overfishing,The two fins on the mantle,Jumbo squid,6 - 9 days,Oceans,Carnivore,,,Humboldt Squid,1.0,,,,RedWhite,Skin,15 mph,A year,Up to 110lbs,"1.2 - 2m (4 - 6.5ft), not including tentacles",,,,"Whales, billfishes, sharks, and seals",Cephalopod,,,,,,,,,,,,Salt,,,,,,,,,
Hummingbird,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Trochilinae,,,,,,,,,,Rainforest and tropical jungles,Omnivore,,Solitary,,,,Beat their wings up to 80 times per second!,,BrownGreyRedWhiteTanGreen,Feathers,30 mph,3 - 5 years,2.2g - 20g (0.07oz - 0.7oz),,,,,"Hawks, Snakes, Lizards",Bird,5cm - 20cm (2in - 8in),"Long, thin beak and the ability to hover",,,Three to five inches,15 to 18 days,,2.0,,,"Nectar, Tree sap, Insects, Spiders",,,,Sheltered trees or shrubbery and fork of branches,Four months for some species,Nectar,,1.0,,
Ibex,"['Africa', 'Asia', 'Europe', 'North-America', 'South-America']",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,,,Kid,Herd,"30,000 for alpine ibex","Poaching, habitat loss","Large, curved horns","Wild goat, steinbock, bouquetin",168 days,Cliffs and mountains,Herbivore,,,Ibex,,"Asia, Europe, Middle East, Africa",,,BrownGrey,Hair,,20 years,91 - 120 kg (200 - 270 lbs),3.9 ft,18 months,4 - 6 months,1 - 3,"Humans, big cats, wolves, eagles",Mammal,0.69 - 1.09 m (27 - 43 inches),,,,,,,,,,,,,,,,,,,,
Ibis,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Ciconiiformes,Threskiornithidae,,Threskiornithidae,,,,,,,,,"Marshes, wetlands and swamps",Omnivore,,Flock,,,,"Found in swamps, marshes and wetlands!",,BrownGreyBlackWhite,Feathers,,8 - 15 years,0.3kg - 2kg (0.6lbs - 4lbs),,,,,"Falcon, Hawks, Herons",Bird,50cm - 65cm (19.7in - 25in),Rounded body and long neck and beak,,,80cm - 120cm (32in - 47in),,,2.0,,,"Fish, Crab, Insects",,,,,,Fish,,,,
Ivory-billed woodpecker,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Piciformes,Picidae,Campephilus,Campephilus principalis,"Berries, nuts, seeds, and insects",,,Unknown,Deforestation,The ivory-colored bill,,,Forests and swamps,Omnivore,,,Ivory-Billed Woodpecker,1.0,United States and Cuba,,,RedBlackWhite,Feathers,,Around 20 years,450-570g,19-21 inches,,,,"Raccoons, snakes, owls, crows, and hawks",Bird,,,,,31in,2 weeks,,,,,,,,,Hollowed trees,5 weeks,,,,,
Kerry Blue Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,GreyBlueBlackSilver,Hair,,13 – 15 years,40 pounds,,,,,,,,,Smart and loyal,,,,,,,,,,,,,,,,,,
Leonberger,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,puppy,,,,the dog's temperament,,,,Omnivore,6 puppies,,Leonberger,,,,,YellowRedSandy,Hair,16 mph,8-9 years,,,,,,,mammal,,,gentle and calm,,,,,,,,,,,,,,,Germany,,,
Lobster,['Ocean'],Animalia,Arthropoda,,Decapoda,Nephropidae,,Nephropidae,,,,,,,,,Sea gardens and rocky beds,Carnivore,12,Solitary,,,,Have been known to reach 100 years old!,,BrownRedBlueOrange,Shell,12 mph,20-80 years,1-7kg (2.2-15lbs),,,,,"Human, Eels, Large fish",Arthropod,,,,,,,,,,,"Clams, Mussels, Starfish",,,,,,Clams,,,,
Lyrebird,['Oceania'],Animalia,Chordata,Aves,Passeriformes,Menuridae,Menura,,"Invertebrates, small lizards and frogs",,,"3500 for Albert’s lyrebird, over 10,000 for Superb lyrebird","Habitat destruction, hunting, invasive species such as red foxes",The male bird’s skill at mimicry,"Bulln-bulln, weringerong, woorail for the Superb, northern lyrebird for the Albert’s",,Bushland and rainforests,Carnivore,,,Lyrebird,2.0,"Australia: Victoria, Tasmania and New South Wales for the Superb lyrebird, Queensland for Albert’s lyrebird",,,BrownGrey,Feathers,9 mph,Up to 30 years,"Superb lyrebirds weigh around 2.14 pounds, Albert’s 2.06 pounds","74 to 98 inches long for the Superb, 84 to 90 inches long for Albert’s",,,1,"Birds of prey, including currawongs, foxes, cats and dogs",Bird,,,,,27 to 31 inches,,,,,,,,,,On an earthen mound or among rocks,Six weeks,,,,,
Nebelung,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis Catus,,,,,,,,,,Omnivore,,,,,,,,GreySilver,,,13 to 16 years,seven to 15lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pembroke Welsh Corgi,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,"Low-set body, large erect ears, and stubby tail",,,,Omnivore,,,,,,,,FawnRedBlackWhiteTan,Hair,,12-15,22-30 lbs,,,,6-8,,,10-12 inches,,"Affectionate, fun-loving, independent, intelligent",,,,,,,,,,,,,,,,,,
Pit Bull,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,"A stocky, muscular build and a short, smooth coat.",,,,Omnivore,5,,,,,,,BrownGreyFawnRedBlueBlackWhiteTanBlack-Brown,Hair,,,,,,,,,,,,"Stubborn, loyal, friendly, obedient, intelligent",,,,,,,,,,,,,,,United Kingdom,,,
Pocket Pitbull,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,Flattened face with a bulky neck and large head.,,,,Omnivore,2-9,,,,,,,BrownFawnRedBlueBlackTanBrindleChocolate,,,11-13 years.,11-22 pounds.,,,,,,,12-16 inches.,,,,,,,,,,,,,,,,,,,,
Proboscis Monkey,['Asia'],Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Nasalis,Nasalis larvatus,"Leaves, Shoots, Fruits",Infant,Troop,"7,000",Habitat loss,"Long, fleshy nose and swollen stomach",Long-Nosed Monkey,166 days,Coastal mangroves and riverine forests,Omnivore,1,Diurnal,Proboscis Monkey,2.0,Borneo,Natively found on the island of Borneo!,Mammal,BrownGreyRedWhiteTanOrange,Fur,15 mph,15 - 20 years,7kg - 22kg (15lbs - 48lbs),,4 - 5 years,7 months,,"Clouded Leopard, Crocodile, Human",,53cm - 76cm (21in - 30in),,,,,,,,,,,,,,,,,,,,
Purple Emperor Butterfly,"['Asia', 'Eurasia', 'Europe']",Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Apatura,Apatura iris,,,,,,,,,Deciduous woodland,Omnivore,100,,Purple Emperor,1.0,Britain and Europe,Inhabits deciduous forests!,,BrownYellowBlueBlackWhiteOrangePurple,Hair,,,,6.2cm - 7.4cm (2.4in - 2.9in),,,,"Bats, Frogs, Birds",,,"Long, curled tongue and brightly coloured wings",,,,,,,,,"Larvae, Sap, Dung",,,,,,Larvae,,,,
Redbone Coonhound,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,RedWhite,Hair,,11 – 12 years,70 lbs.,,,,,,,,,"Loyal, friendly, and energetic.",,,,,,,,,,,,,,,,,,
Ribbon Eel,"['Africa', 'Asia', 'Oceania']",Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Rhinomuraena,Rhinomuraena quaesita," Crustaceans, small fish",,Solitary,unknown,Caught as exotic pets,Brightly colored body,"Ribbon moray, Leaf-nosed moray, Bernis eel",unknown,coral reefs,Carnivore,,,Eel,223.0,,,,YellowBlueBlack,Skin,,up to 20 years,,,,,,"Large fish, sea birds",Anguilliformes,,,,,,,,,,,,Salt,,,,,,,,8.1-8.4,
Robin,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania']",Animalia,Chordata,Aves,Passeriformes,Muscicapidae,,,,,,,,,,,"Woodland, farmland and hedgerows",Omnivore,,Solitary,,,,There are more than 45 species in Australia alone!,,BrownWhiteOrange,Feathers,18 mph,1 - 3 years,16g - 22g (0.5oz - 0.7oz),12.5cm - 14cm (5in - 5.5in),,,,"Cats, Dogs, Raccoon, Foxes",Bird,,Small body size and bright red chest of males,,,Up to 16 inches,Two weeks,,4.0,,,"Worms, Insects, Fruit, Berries",,,,Trees or shrubs,Two weeks,Worms,,1.0,,
Shoebill Stork,['Africa'],Animalia,Chordata,Aves,Pelecaniformes,Balaenicipitidae,Balaeniceps,Balaeniceps rex,"Fish, snakes, frogs, turtles, lizards, and more",,,"11,000 - 15,000",Habitat destruction,Shoe-shaped bill,Whaleheaded stork,,Wetlands,Carnivore,,,Shoebill stork,1.0,East Africa,,,GreyYellowBlue,Feathers,30 mph,Up to 35 years,12lbs,,,,,Humans and crocodiles,Bird,3.5-4.5ft,,,,8ft,30 days,,,,,,,,,Small islands or floating vegetation,3-4 months,,,,,
Siberpoo,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springbok,['Africa'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antidorcas,Antidorcas marsupialis,,Calves,Herd,Up to 2.5 million,Hunting,The large curved horns on the top of the head,,4-6 months,Savannas and deserts,Herbivore,,,Springbok,1.0,Southern Africa,,,BrownBlackWhite,Hair,55 mph,7-9 years on average,27-48kg (59-106lbs),1-1.5m (4-4.5ft),200-400 days,4 months,1-2 calves,"Cheetahs, lions, leopards, hyenas, caracals, jackals, wild dogs, and eagles",Mammal,69-87cm (27-34in),,,,,,,,,,,,,,,,"Grasses, leaves, and flowers",,,,
Tiger Beetle,"['Africa', 'Antarctica', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela,Cicindelinae,spiders and insects,larvae,Solitary,,Habitat destruction,The iridescent metallic shell,,a few days or weeks,ground,Carnivore,,,Tiger beetle,2600.0,worldwide,,,RedBlueBlackWhiteGreenOrange,Exoskeleton,3.5 mph,1-4 years,less than 1 gram,up to 1 inch,1-4 years,,3-4 eggs per day,,insect,,,,,,,,,,,,,,,,,,,,,
Treeing Tennessee Brindle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,puppy,,,,"unique, loud bark",,,,Omnivore,,,,,,,,BlackBrindle,Hair,,10-12 years,,,,,,,mammal,,,Easygoing and energetic,,,,,,,,,,,,,,,United States,,,
Tropicbird,['Ocean'],Animalia,Chordata,Aves,Phaethontiformes,Phaethontidae,Phaethon,,,,,,,,,,Tropical islands and cliffs,Carnivore,,Flock,,,,Nests on tropical islands and cliffs!,,BrownYellowBlackWhite,Feathers,30 mph,10 - 16 years,0.3kg - 0.7kg (0.6lbs - 1.5lbs),75cm - 100cm (30in - 40in),,,,"Dogs, Cats, Stouts",Bird,,Long pointed beak and large body size,,,94 to 112 cm,40 to 42 days,,1.0,,,"Fish. Squid, Flying Fish",,,,Ground or rocky cliffs,Adult feather appear at two to three years,Fish,,1.0,,
White Butterfly,"['Africa', 'Asia', 'Europe', 'North-America', 'Oceania']",Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris rapae,nectar,"Eggs, larva, pupa",Solitary,,Loss of habitat,"Bright, white wings",Cabbage white butterfly,Approximately 10 days,"Gardens, weedy areas, forests",Herbivore,,,white butterfly,1100.0,"North America, Africa, Asia, Australia, Europe",,solitary,GreyBlackWhiteOrange,Exoskeleton,,2-3 weeks,less than one ounce,1-2 inches,As adult emerging from chrysalis,Immediately,40-100 egss,,insect,,,,,1 ¾ to 2 ¼ inches,,,,,,,,,,,,,,,,
Wildebeest,['Africa'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes,Connochaetes Taurinus,,,,,,,,,Grass plains and bush covered savanna,Herbivore,1,Herd,,,,"Can trek more than 1,000 miles every year!",,BrownBlackTan,Hair,38 mph,15-20 years,120-250kg (265-550lbs),,,,,"Lion, Cheetah, Crocodile",Mammal,,,,,,,,,,,"Grass, Leaves, Shoots",,,,,,Grass,,,,
Wood Bison,"['Eurasia', 'North-America']",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,Bison bison athabascae,,Calves,Herd,"11,000",Man,"The wood bison has huge shoulders and a sizeable neck, which makes it appear even bigger.",Wood antelope,270 days,Cold steppe,Herbivore,,,"Mountain bison, buffalo",1.0,Canada and Alaska,,,Brown,Hair,34 mph,18-22 years,"544kg-907kg (1,200lb-2000lb",3m(10 ft),24 months,7-13 months,1,,,2 m(9 ft),,,,,,,,,,,,,,,,,,,,
Yorkie Bichon,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyBlackWhiteGoldDark BrownCreamBlonde,Hair,,10 to 12 years,6 to 8 pounds,,,,,,,,,"Fun-loving, friendly, and independent",,,,,,,,,,,,,,,,,,
Zebu,"['Africa', 'Asia']",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus indicus,,,,,,,,,Tropical jungles and open plains,Herbivore,1,Herd,,,,There are around 75 different species!,,BrownBlackWhite,Leather,25 mph,12-16 years,150-200kg (331-440lbs),,,,,"Human, Bears, Wildcats",Mammal,,,,,,,,,,,"Grass. Seeds, Flowers",,,,,,Grass,,,,
Centipede,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Chilopoda,,,,,,,,,,,,,Decomposing matter on forest floor,Carnivore,60,,Centipede,3000.0,Worldwide,"There are about 3,000 documented species!",,YellowRedBlackOrange,Shell,,,,,,,,,,,,,,,,,,,,"Insects, Spiders, Worms",,,,,,Insects,,,,
Cesky Fousek,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Cesky Fousek,,,An affectionate hunting dog!,Gun Dog,,Hair,,15 years,34kg (75lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesky Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,GreyBlueLight-Brown,Hair,,12 – 15 years,24 lbs,,,,,,,,,"Alert, inquisitive, and adventuresome",,,,,,,,,,,,,,,,,,
Chicken,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,,,,,,,,,Open woodland and sheltered grassland,Omnivore,,Flock,,,,"First domesticated more than 10,000 years ago!",,BrownYellowRedBlackWhiteOrange,Feathers,6 mph,2 - 4 years,1kg - 3kg (2.2lbs - 6.6lbs),30cm - 45cm (11.8in - 17.7in),,,,"Human, Fox, Raccoon",Bird,,"Sharp, pointed beak and clucking sounds",,,45cm - 60cm (17.7in - 23.6in),,,2.0,,,"Seeds, Fruit, Insects, Berries",,,,,,Seeds,,,,
Chinese Crested Dog,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Chinese Crested Dog,,,A hairless breed of dog!,South,,Hair,,13 years,4.5kg (10lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Geese,"['Asia', 'Eurasia']",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser cygnoides domesticus,none,gosling,Family units,60-90 thousand,predators,"Long, arched neck and raised knob",Swan goose,28-35 days,farms,Herbivore,,,Chinese goose,,"Kazakhstan, Mongolia, Russia, Japan, South Korea, North Korea, China, Turkmenistan, Laos, Uzbekistan, Taiwan, and Thailand",,gaggle or flock,BrownWhite,Feathers,,15-20 years,,1-2 feet,2 years,12 weeks,10-15,"Snakes, rats, raccoons, coyotes, and foxes",waterfowl,2-3 feet,,,,,,,,,,,,,,,,,,,,
Chinook,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Chinook,,,A calm and friendly breed!,North,,Hair,,14 years,41kg (90lbs),,,,,,,,,Friendly and loyal,,,,,,,,,,,,,,,,,,
Chipmunk,"['Eurasia', 'North-America']",Animalia,Chordata,Mammalia,Rodentia,Sciuridae,,,,,,,,,,,Forest and thick woodland,Omnivore,5,Solitary,,,,There are 25 different species!,,BrownYellowBlackBeige,Fur,21 mph,4 - 8 years,57g - 113g (2oz - 4oz),,,,,"Human, Hawks, Raccoon",Mammal,10cm - 18cm (4in - 7in),Stripes on fur and large front teeth,,,,,,,,,"Nuts, Fruit, Seeds, Berries",,,,,,Nuts,,,,
Chipoo,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Chipoo,,,,,BrownGreyFawnBlueBlackWhiteBrindleCreamSilver,Hair,,12-15 years,20lbs,,,,,,,,,"Loyal , outgoing, and intelligent",,,,,,,,,,,,,,,,,,
Chiweenie,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,FawnBlueBlackWhiteTanSilverBlonde,Hair,,12 to 16 years,10 lbs.,,,,,,,,,"Affectionate towards owner, stand-offish towards strangers",,,,,,,,,,,,,,,,,,
Chorkie,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,10 to 15 years,10 lbs,,,,,,,,,loyal and protective,,,,,,,,,,,,,,,,,,
Chow Chow,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,The adult Cho Chow have a blue tongue,,,,Omnivore,,,Chow Chow,,,Loyal and affectionate to it's family!,North,FawnRedBlueBlackCream,Hair,,9-15 years,32kg (70lbs),,,,,,,,,"Not sociable or outgoing, sometimes aggressive, and often suspicious of strangers",,,,,,,,,,,,,,,,,,
Chow Shepherd,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyFawnRedBlackCream,Hair,,10-12 years,105 lbs,,,,,,,,,"Smart, loyal, and protective",,,,,,,,,,,,,,,,,,
Cichlid,"['Africa', 'Central-America', 'South-America']",Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Herotilapia,Herotilapia multispinosa,"Phytoplankton, zooplankton, mollusks, and other fish",,SolitarySchool,Unknown,Habitat changes,The exceptionally bright and varied colors,,A few days or weeks,Lakes and rivers,Omnivore,,,Cichlid,,,There are more than 2 000 known species!,,YellowRedBlueBlackWhiteGreenOrangeSilver,Scales,,Up to 8 years,From less than an ounce to more than 7 pounds,Up to 3 feet,9 months old,,,Humans and other fish,Ray-finned fish,,,,,,,,200.0,,High,,Fresh,,,,,Algae,,,7.8-8.5 on average,
Cinereous Vulture,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aegypius,Aegypius monachus,"Calves, kids, lambs, piglets, young birds, rodents, reptiles and amphibians",,,,"Poisoning, poaching",Their great size,"Eurasian black vulture, monk vulture, black vulture",,"Forests, mountains, semi-deserts, often at heights between 330 and 6562 feet.",Carnivore,,,Cinereous vulture,1.0,"Eurasia, Asia, Middle East, Africa",,,BrownBlack,Feathers,,20 to 40 years,18 to 31 pounds,43 to 47.24 inches,,,1,Humans,Bird,,,,,8 to 9.5 feet,53 days,,2.0,,,,,,,Trees and ledges,95 to 120 days,,,,,
Clownfish,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,,,,School,,Destruction of coral reef habitats,,"Anemonefish, false clownfish, false percula",6 to 8 days,Tropical coral reefs,Omnivore,,,Clownfish,27.0,,Also known as the anemonefish!,,YellowRedBlackWhiteOrange,Scales,,6 to 10 years,250 grams,10cm - 18cm (4in - 7in),,,,Larger fish,Fish,,"Coloring and three wide, white bands",,,,,,2000.0,,,"Zooplankton, phytoplankton",Salt,,,,,Algae,,,7.9 - 8.4,
Codfish,['Ocean'],Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,,"Smaller fish, shellfish, crustaceans, worms",,School,Unknown,Humans,Beloved food around the world,"Cod, codling",8-23 days,Pacific and Atlantic oceans,Carnivore,,,"Cod, codfish",3.0,,,,GreenGrey-Brown,Scales,,15-25 years,33-212lbs (15-96kg),77-200cm (30-79in),,,,Humans,Groundfish,,,,,,,,,,,,Salt,,,,,,,,,
Collie,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,Collie,,,Gentle and devoted!,Herd,,Hair,,13 years,34kg (75lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Frog,['Europe'],Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,Rana temporaria,,,,,,,,,"Forests, rivers and marshes",Carnivore,,Solitary,,,,Found throughout the European continent!,,BrownGreyBlackGreen,Permeable,5 mph,5 - 10 years,20g - 80g (0.7oz - 2.8oz),6cm - 10cm (2.4in - 4in),,,,,Amphibian,,Short back legs and webbed toes,,,,,,1500.0,,,"Insects, Worms, Snails",,,,,,Insects,,,,
Common House Spider,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Arachnida,aranae,Theridiidae,Parasteatoda,Parasteatoda tepidariorum,"Mosquitoes, flies, ants",Spiderling,Solitary,,"Loss of habitat, pesticides",Eight spindly legs,House spider,30-50 days,The corners of a room,Carnivore,,,House spider,,Worldwide,,Solitary,BrownBlackTan,Exoskeleton,1 mph,1 year,Less than 1 ounce,0.15in - 0.24in,,,400+ eggs,"Birds, cats, dogs, wasps",Insect,,,,,,,,,,,,,,,,,,,,,
