name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,coordenadas
Eurasian Wolf,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus lupus,"Moose, deer, wild boar, reindeer, argali, mouflon, wisent, saiga, ibex, chamois, wild goats, etc.",pups,Pack,"150,000","Deforestation, humans.",Tawny coat,"Common wolf, European wolf, Carpathian wolf, steppes wolf, Tibetan wolf, Chinese wolf",7 weeks,"Tundra, plains, scrublands, mountains.",Carnivore,Unknown,Unknown,Eurasian Wolf,1.0,"Western Europe, Scandinavia, Russia, China, Mongolia, Himalayan mountains.",Unknown,Pack,GreyRedBlackWhiteCreamTawny,Fur,Unknown,"6-8 years, though some live up to 17 years.",86 to 174 lbs.,41 to 63 inches,2 years,8 weeks,6 pups,none,mammal,"31 to 33 inches, at the shoulder",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra africana,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Moscow Watchdog,['Eurasia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,RedBlackWhite,Hair,Unknown,9 to 11 years,150 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Gentle and powerful,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Ceratotrocha,Ceratotrocha franzi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Worm,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Annelida,Clitellata,Haplotaxida and Lumbriculida,Unknown,Unknown,Unknown,Dead animals,Hatchlings,Herd,57 billion,Any predator,Long cylindrical body,Earthworm,2-4 weeks,Anywhere with moist soil,Omnivore,Unknown,Unknown,Earthworm,Unkown,Worldwide,Unknown,Group,BrownGreyWhitePink,Skin,Unknown,4-8 years,Varies by species,Varies by species,30-60 days,Unknown,1-20,"Small mammals, birds, amphibians, reptiles, other insects",Invertebrate,Varies by species,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Irish Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,RedCaramel,Hair,Unknown,11-13 years,27 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Intelligent, lively, dominant",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Green Tree Frog,"['North-America', 'Oceania']",Animalia,Chordata,Amphibia,Anura,Unknown,Unknown,Unknown,"Flies, mosquitoes, crickets, moths and other small insects",Tadpole,Social,Unknown,Habitat destruction; air pollution,"They’re amphibians, but they live in trees",The Australian green tree frog is also known as White’s tree frog or dumpy tree frog,Unknown,Forested wetlands and marshlands,Carnivore,Unknown,Unknown,Unknown,2.0,Australia and North America Southeast Asia,Unknown,Unknown,Green,Permeable,Unknown,"With proper care, members of the Australian species can live 15 years in terrariums. The typical lifespan of the American species in captivity is six years.",A few ounces,Members of the Australian species measure 4 inches long on average; members of the American species measure 2.5 inches long on average,2 years,Unknown,Unknown,Birds and snakes,Amphibian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Bluegill,"['Central-America', 'North-America']",Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus,"Insects, small crustaceans",Unknown,School,Unknown,Recreational fishing,Black spot on its dorsal fin,"Bluegill sunfish, Bream",3 days,"Lakes, streams",Carnivore,Unknown,Unknown,Bluegill,38.0,Unknown,Unknown,Unknown,BrownYellowRedBlueBlackGreenOrange,Scales,Unknown,4-6 years,1 - 2.6lbs,7 - 16 inches,Unknown,Unknown,Unknown,"Birds, raccoons, large fish, humans",Perciformes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.0-7.5,Unknown,
Leopard Frog,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Unknown,Unknown,Tadpoles,Largely solitary,Millions,"Habitat loss, pollution",Leopard-like spots,"Meadow frog, grass frog",70-110 days,"Forest, grassland, wetland",Carnivore,Unknown,Unknown,Leopard Frog,Unkown,From southern Canada through northern South America,Unknown,Unknown,BrownBlackGreen,Permeable,Unknown,Five to eight years,One half to three ounces,Two to five inches,Unknown,Unknown,Unknown,"Various, including raccoons, foxes, snakes, birds, frogs, humans",Amphibian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Insects, Mollusks, birds, Worms, snakes, frogs",Fresh,Unknown,Up to 6500,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Ocelot,"['Central-America', 'South-America']",Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,"Rodents, Lizards, Deer",Kitten,Solitary,"800,000",Habitat loss,"Rosettes, spots and stripes on fur",Painted Leopard,79 - 85 days,"Tropical jungle, grassland and marshes",Carnivore,2,Nocturnal/Crepuscular,Ocelot,1.0,South America,Also known as the Painted Leopard!,Mammal,GreyYellowRedBlackTan,Fur,38 mph,8 - 12 years,11.5kg - 16kg (25lbs - 35lbs),55cm - 100cm (22in - 40in),2 - 3 years,6 weeks,Unknown,"Jaguar, Puma, Harpy Eagle",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca undulata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Staffordshire Bull Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Staffordshire Bull Terrier,Unkown,Unknown,Known for their loyalty to their family!,Mastiff,Unknown,Hair,Unknown,14 years,17kg (38lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Eskipoo,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Coati,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,Nasua nasua,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Forests, grasslands, desert",Omnivore,4,Band,Unknown,Unkown,Unknown,Found in dense forests and wet jungles!,Unknown,BrownGreyRedBlackWhiteTan,Fur,15 mph,8-15 years,3-8kg (6-18lbs),Unknown,Unknown,Unknown,Unknown,"Wildcats, Birds of Prey, Crocodiles",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fruit, Nuts, Small mammals and reptiles",Unknown,Unknown,Unknown,Unknown,Unknown,Fruit,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella adjuncta,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
American Cocker Spaniel,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,4,Unknown,American Cocker Spaniel,Unkown,Unknown,"Merry, outgoing, and eager to please!",Dog,BrownGreyFawnRedBlackWhiteTan,Hair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Gun Dog,Unknown,"Long, dropped ears and feathered feet","Friendly, happy and enthusiastic",Easy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Havashire,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,FawnRedBlackWhiteTanBrindleMulti-colored,Hair,Unknown,13 to 15 years,12 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Affectionate, loyal, charismatic, and spunky",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Dicranophoridae,Paradicranophorus,Paradicranophorus hudsoni,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,[],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Amur Leopard,"['Asia', 'Eurasia']",Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera pardus orientalis,"Deer, Cattle, hares, small mammals",Unknown,Unknown,103 as of 2018,Poaching and habitat loss,Unknown,Unknown,90-105 days,Forests,Carnivore,2-3 cubs,Solitary,Amur leopard,Unkown,Russia's Far East,The Amur leopard may be the rarest big cat on Earth!,Mammal,Unknown,Hair,Unknown,10 - 15 years in wild; up to 20 in captivity,25kg - 48kg (55lbs - 106lbs),90 cm - 180 cm (3ft - 6ft) excluding tail,Unknown,Unknown,Unknown,Human poaching and competition with Siberian tigers,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Husky Jack,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,GreyRedBlackWhiteLight-Brown,Hair,Unknown,11 to 16 years,40 pounds,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Social, energetic, and loyal",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Border Collie,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,6,Unknown,Border Collie,Unkown,Unknown,Highly intelligent and alert breed!,Herd,BrownRedBlackWhite,Hair,Unknown,12-15 years,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,18-22 inches,Unknown,Lively and intelligent,Should be trained from an early age in obedience,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela armillata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Bush Baby,['Africa'],Animalia,Chordata,Mammalia,Primates,Galagidae,Unknown,Unknown,"Fruit, gum, insects and frogs",Infant,Solitary,Unknown,Loss of habitat,Large eyes,"Senegal galago, Lesser bush baby, nagapies",125 days,"Forests, grasslands",Omnivore,Unknown,Unknown,Bush baby,Unkown,Africa,Unknown,Solitary,BrownGreyYellow,Fur,Unknown,192 months,3.5oz to 3lbs,5in-8in,2 years,6 weeks,2,"Jackals, mongoose, owls, dogs, cats, snakes",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Ceratotrocha,Ceratotrocha rodewaldi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Crabeater Seal,['Antarctica'],Animalia,Chordata,Mammalia,Carnivora,Pinnipedia,Lobodon,Lobodon carcinophaga,Krill,Pups,Solitary,7 to 70 million,Cimate change,"The irregular, jagged teeth",Krill-eating seal,11 months,Ice packs and shallow water,Carnivore,Unknown,Unknown,Crabeater seal,1.0,Antarctica,Unknown,Solitary,BrownGreyWhite,Hair,15 mph,40 years,Up to 600 pounds,6.6-8.2 feet,3-4 years,3 weeks,1 pup,Killer whales and leopard seals,Mammal,1-2 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella margalefi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Petite Goldendoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BrownBlueBlackWhiteTanCreamSilver,Hair,Unknown,10 to 15 years,20 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Energetic and friendly,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca ferox,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Gastropodidae,Ascomorpha,Ascomorpha klementi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Pomeranian,[],Animalia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra brandorffi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra costata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Eastern Glass Lizard,['North-America'],Animalia,Chordata,Reptilia,Squamata,Anguidae,Ophisaurus,Ophisaurus ventralis,"Lizards, snakes, mice, invertebrates such as insects, spiders, earthworms and snails as well as each other.",Hatchling,Solitary,Unknown,"Habitat destruction, vehicular accidents",Lack of legs even though it’s a lizard and not a snake," Joint snake, stinging snake, horn snake",50 to 60 days,"Wet areas, including places near marshes, forests near the ocean, wet meadows, mesic semi-tropical or tropical hammocks, coastal dunes",Carnivore,Unknown,Unknown,Eastern glass lizard,1.0,Southeastern United States,Unknown,solitary,BrownYellowBlackWhiteGreen,Scales,4 mph,Lifespan of 10 to 30 years,11 to 21 ounces,18 to 43 inches,Two to three years,Unknown,Five to 15 eggs,"Foxes, skunks, birds of prey, snakes and raccoons",reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Saint Berdoodle,[],Animalia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Codfish,['Ocean'],Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Unknown,"Smaller fish, shellfish, crustaceans, worms",Unknown,School,Unknown,Humans,Beloved food around the world,"Cod, codling",8-23 days,Pacific and Atlantic oceans,Carnivore,Unknown,Unknown,"Cod, codfish",3.0,Unknown,Unknown,Unknown,GreenGrey-Brown,Scales,Unknown,15-25 years,33-212lbs (15-96kg),77-200cm (30-79in),Unknown,Unknown,Unknown,Humans,Groundfish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Megamouth Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Lamniformes,Megachasmidae,Megachasma,Megachasma pelagios,Unknown,Unknown,Solitary,Unknown,Incidental bycatch,Tremendously large mouth full of teeth,Big mouth shark,Unknown,Oceans,Carnivore,Unknown,Unknown,Megamouth shark,1.0,Unknown,Unknown,Unknown,BrownBlackWhite,Rough,1.3 mph,Unknown,"1,760lbs",13ft-18ft,Unknown,Unknown,Unknown,Unknown,Cetorhinidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Plankton, jellyfish, shrimp, copepods",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Zuchon,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,puppy,Unknown,Unknown,Unknown,teddy bear like appearance,teddy bear dog,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,FawnRedBlackWhiteCream,Hair,Unknown,15-18 years,Unknown,Unknown,Unknown,Unknown,4-5 puppies,Unknown,mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,United States,Unknown,Unknown,Unknown,
Octopus,['Ocean'],Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Unknown,Octopus Vulgaris,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tropical and temperate waters worldwide,Omnivore,80,Solitary,Unknown,Unkown,Unknown,There are around 300 different species!,Unknown,BrownRedBlueTanOrangePurple,Smooth,27 mph,2-15 years,5-75kg (11-165lbs),Unknown,Unknown,Unknown,Unknown,"Eels, Sharks, Dolphins",Mollusca,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Crabs, Fish, Scallops",Unknown,Unknown,Unknown,Unknown,Unknown,Crabs,Unknown,Unknown,Unknown,Unknown,
